codec,seed,L,gap_bytes,b,alpha
gzip,0,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,0,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,0,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,0,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,0,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,1,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,1,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,1,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,1,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,1,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,2,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,2,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,2,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,2,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,2,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,3,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,3,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,3,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,3,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,3,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,4,128,-0.046875,4.845401928876493e-15,0.9999999999999951
gzip,4,256,0.0,4.845401928876493e-15,0.9999999999999951
gzip,4,512,0.0,4.845401928876493e-15,0.9999999999999951
gzip,4,1024,0.0,4.845401928876493e-15,0.9999999999999951
gzip,4,2048,0.0,4.845401928876493e-15,0.9999999999999951
gzip,5,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,5,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,5,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,5,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,5,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,6,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,6,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,6,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,6,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,6,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,7,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,7,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,7,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,7,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,7,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,8,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,8,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,8,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,8,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,8,2048,0.0,7.798194715627391e-16,0.9999999999999992
gzip,9,128,0.0,7.798194715627391e-16,0.9999999999999992
gzip,9,256,0.0,7.798194715627391e-16,0.9999999999999992
gzip,9,512,0.0,7.798194715627391e-16,0.9999999999999992
gzip,9,1024,0.0,7.798194715627391e-16,0.9999999999999992
gzip,9,2048,0.0,7.798194715627391e-16,0.9999999999999992
lzma,0,128,0.0,12.575933641738862,-11.575933641738862
lzma,0,256,0.0,12.575933641738862,-11.575933641738862
lzma,0,512,0.25,12.575933641738862,-11.575933641738862
lzma,0,1024,2.0,12.575933641738862,-11.575933641738862
lzma,0,2048,6.0,12.575933641738862,-11.575933641738862
lzma,1,128,0.0,12.658941141594621,-11.658941141594621
lzma,1,256,0.0,12.658941141594621,-11.658941141594621
lzma,1,512,0.25,12.658941141594621,-11.658941141594621
lzma,1,1024,2.0,12.658941141594621,-11.658941141594621
lzma,1,2048,8.0,12.658941141594621,-11.658941141594621
lzma,2,128,0.0,12.658941141594621,-11.658941141594621
lzma,2,256,0.0,12.658941141594621,-11.658941141594621
lzma,2,512,0.25,12.658941141594621,-11.658941141594621
lzma,2,1024,2.0,12.658941141594621,-11.658941141594621
lzma,2,2048,8.0,12.658941141594621,-11.658941141594621
lzma,3,128,0.0,12.481823010644248,-11.481823010644248
lzma,3,256,0.0,12.481823010644248,-11.481823010644248
lzma,3,512,0.25,12.481823010644248,-11.481823010644248
lzma,3,1024,1.5,12.481823010644248,-11.481823010644248
lzma,3,2048,5.0,12.481823010644248,-11.481823010644248
lzma,4,128,0.0,12.4174373916668,-11.4174373916668
lzma,4,256,0.0,12.4174373916668,-11.4174373916668
lzma,4,512,0.25,12.4174373916668,-11.4174373916668
lzma,4,1024,1.5,12.4174373916668,-11.4174373916668
lzma,4,2048,4.0,12.4174373916668,-11.4174373916668
lzma,5,128,0.0,12.558941141594689,-11.558941141594689
lzma,5,256,0.0,12.558941141594689,-11.558941141594689
lzma,5,512,0.25,12.558941141594689,-11.558941141594689
lzma,5,1024,1.0,12.558941141594689,-11.558941141594689
lzma,5,2048,8.0,12.558941141594689,-11.558941141594689
lzma,6,128,0.0,12.681823010644225,-11.681823010644225
lzma,6,256,0.0,12.681823010644225,-11.681823010644225
lzma,6,512,0.25,12.681823010644225,-11.681823010644225
lzma,6,1024,1.5,12.681823010644225,-11.681823010644225
lzma,6,2048,10.0,12.681823010644225,-11.681823010644225
lzma,7,128,0.0,12.57890837607829,-11.57890837607829
lzma,7,256,0.0,12.57890837607829,-11.57890837607829
lzma,7,512,0.25,12.57890837607829,-11.57890837607829
lzma,7,1024,1.5,12.57890837607829,-11.57890837607829
lzma,7,2048,7.0,12.57890837607829,-11.57890837607829
lzma,8,128,0.0,12.617437391666762,-11.617437391666762
lzma,8,256,0.0,12.617437391666762,-11.617437391666762
lzma,8,512,0.25,12.617437391666762,-11.617437391666762
lzma,8,1024,1.5,12.617437391666762,-11.617437391666762
lzma,8,2048,8.0,12.617437391666762,-11.617437391666762
lzma,9,128,0.0,12.534429891811005,-11.534429891811005
lzma,9,256,0.0,12.534429891811005,-11.534429891811005
lzma,9,512,0.25,12.534429891811005,-11.534429891811005
lzma,9,1024,1.5,12.534429891811005,-11.534429891811005
lzma,9,2048,6.0,12.534429891811005,-11.534429891811005
